School,Program,Priority,Name,Focus,Site,Open,Level,Notes,Notes_re0
Sloan,Management,Yes,Vicky Yang,Collective Behavior,http://www.vcyang.com/,Unk,Assistant,,
Sloan,Management,Yes,Sinan Aral,Digital Economy and Info,https://www.sinanaral.io/,Yes,Endowed,,
Stanford,Business,No,Neil Malhotra,Polarization,https://web.stanford.edu/~neilm/,Unk,Full,,
UMich,Econ,No,Justin Wolfers,Behavioral,https://users.nber.org/~jwolfers/index.php,Unk,Full,,
Wharton,Ops,Yes,Etan Green,DRL Applications!,https://etangreen.github.io/,Might Not Be,Assistant,"High Risk, Might be looking for a way out of academia...","High Risk, Might be looking for a "
Wharton,Ops/CS,Yes,Duncan Watts,Do I have to fill this out?,https://duncanjwatts.com/,Yes,Endowed,,
UChicago,CS,Yes,Chenhao Tan,Human Centered AI,https://chicagohai.github.io/,Unk,Assistant,Long Standing Fave,Long Standing Fave
UChicago,CS,Yes,Heifeng Xu,Economics and AI,https://www.haifeng-xu.com/,Yes,Assistant,New guy in the Social Push from Uchicago,Ne
UChicago,CS,No,Rina Foygel Barber,Sparse Models,https://rinafb.github.io/,Unk,Full,"Would be working as an Applicator, not a problem but she doesn't seem to do that kind of work.",
UChicago,CS,No,Henry Hoffman,Self Aware and Adaptive Compujting,https://cs.uchicago.edu/people/henry-hoffmann/,Unk,Associate,Another persen for whom Im nto really qualified,Another persen for 
UChicago,CS,Yes,Ben Zhao,Big Data and Networks,http://people.cs.uchicago.edu/~ravenben/,Yes,Full,Joint with heather zheng,Joint 
UChicago,CS,Yes,Heather Zheng,Big Data and Networking,https://cs.uchicago.edu/people/heather-zheng/,Yes,Full,Joint with ben zhao,Joint 
